variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
d_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/d_mortbh_tw,BHPS second mortality weight adjustment
e_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/e_mortbh_tw,BHPS second mortality weight adjustment
f_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/f_mortbh_tw,BHPS second mortality weight adjustment
g_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/g_mortbh_tw,BHPS second mortality weight adjustment
h_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/h_mortbh_tw,BHPS second mortality weight adjustment
i_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/i_mortbh_tw,BHPS second mortality weight adjustment
b_mortus_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/b_mortus_tw,UKHLS second mortality weight adjustment
c_mortus_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/c_mortus_tw,UKHLS second mortality weight adjustment
d_mortus_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/d_mortus_tw,UKHLS second mortality weight adjustment
e_mortus_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/e_mortus_tw,UKHLS second mortality weight adjustment
f_mortus_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/f_mortus_tw,UKHLS second mortality weight adjustment
